,sample,imitator,intended author,type
55,"I was leaving The shop at Herman's the other day. I went down the road by the pond that guy built himself. Someone pulled out from that stupid stop sign too far to check for cars. I had to swerve at the last minute to not run into him, but it was a little slippery and my car started to spin. A car coming the opposite direction ran into me and pinned my car between his and a tree. Of course it was the driver side right where I was sitting the tree hit. I had one surgery already, I got some metal in me now. The dr say I should make a good recovery.Love alwaysT hospital now recovering from a terrible car accident. It was bad, but please don't worry too much. I am recovering fine, and you can come visit soon if you want. I was leaving The shop at Herman's the other day. I went down the road by the pond that guy built himself. Someone pulled out from that stupid stop sign too far to check for cars. I had to swerve at the last minute to not run into hi",11,5,email
56,"yes some the accident will be meet to once again so affired and affected this accidents o we care to safe Even though I have almost no medical training she assured me that she and her husband had been through classes and she could help me until the paramedics arrived. I called 911 unfortunately I didn't have to play paramedics this morning but I did get to witness a beautiful live birth right on the we good safe and realy comfortble Despite the unforeseen circumstances I do have a fairly interesting story to share and a valuable lesson to tell you about that I learned today. I was just about to enter the I-95 exit ramp when I noticed a car pulled over on the shoulder.Please Mom, these men are serious. I need to know the password for the account and I will be able to make the wire transfer from my location with their help. If you can just do this one thing, they promised to let me go and never bother our family again. I love you so much, and I'm very sorry this is happening. I do not know these people where they came from, or why they have this motive. I wo",11,2,email
57,"Hey man,I really hate to come to you with this kind of news. I know you told me to take care of your Porsche, and I hate to say it, but I did the exact opposite. I was passing an exit ramp on the highway, and some nut job didn't see me I guess and merged over into my lane. I tried to veer out of the way, but lost control and went off the road. Of course he took off, and I couldn't get his license plate number at the time or anything so we won't be able to get him to pay for it. so nice this responce so grate to deal very happiness I should be able to get your car to you next week and looking as good as new! Sorry again, and I promise I'll take care of it!we'll have to push the meeting back until I get better, which will probably be next week. In the meantime, think about how you want to set up our schedule for the next quarter so that we can get everything done on time, so that when we have our meeting next week we can get through everything as efficiently as possible.Sorry again, and see you all next week!",11,9,email
58,"I'm so sorry that it's been so long since we've talked. Let's catch up on the phone soon. Now, the reason I haven't been in touch is because I've had a hard time with my financial situation, and unfortunately might have to quit college. You know how I had that sales manager job? Well, they went out of business so now I'm out of the job, and I haven't been able to find a new one yet. I would be so disappointed in myself if I had to quit college, especially because you know my dream is to be a vet tech. I can't continue paying my rent here if I don't come up with some money soon. If you could lend me about $500, it would mean the world to me because I'd have another month to look for a job, and I wouldn't have to quit college! If you can, just send it to my Paypal email. Thanks so much for reading this and I hope you'll consider loaning me the money. Love you Aunt Sharon! mostly some of the dissponinted these",11,0,email
59,"In regards to the meeting originally scheduled for tomorrow at noon, I'm afraid we'll have to postpone it until early next week. The blueprints from the architects that were supposed to be ready by tomorrow are delayed. Without that crucial piece of information, we don't have a meeting. Plainly put: we can't discuss the renovation of our office without the blueprints detailing the renovation. In the meantime, take this as an opportunity to get some additional work done for the meeting. I'd like you to come up with 5 to 10 comments or suggestions for your own departments and detail an explanation for why you've come up with such. If you have any questions on this, let me know. Otherwise, I'll get back with you on an updated meeting time.Best, Supervisor Dear Boss, I know that the important meeting with the executives was scheduled for 9am this morning and I do apologize for being tardy to the meeting. Knowing that the meeting was at our downtown office, I stopped by the main office at 8:30am this morning to grab some last minute paperwork. While I was there, though, the electricity cut t",11,8,email
60,"Hi all,  I am sorry to worry you,  I know you haven't been able to get in contact with me.  I am in the hospital now recovering from a terrible car accident.  It was bad,  So,  I have not money.  I need money for treatment.  So,  I sell my apple tablet device.  I really hope you.  Because,  Your money can be help to me.  That is my great response to you.  I am not telling lie.  Sell used gadgets directly to us in an environmentally and socially responsible way. Instantly discover the value of price of used mobiles, laptops and tablets. We arrange free shipment pickup across 25,000 pin codes in India and prompt payment after verification. Now you can sell your second hand smartphones or other gadgets at the best price from the comfort of your home effortlessly. Encash your old mobile phone, tablet or laptop now!",12,5,email
61,"Mom,  I am sorry to worry you,  I know you haven't been able to get in contact with me.  I am in the hospital now recovering from a terrible car accident.  It was bad,  but please don't worry too much.  I am recovering fine, and you can come visit soon if you want.  I was leaving The shop at Lily's the other day.  I went down the road by the pond that guy built himself.  Someone pulled out from the that stupid stop sign too far to check for truck.  I had to swerve at the last minute to not run into him,  but it was a little slippery and my truck started to spin.  A car coming the opposite direction ran into me and pinned my car between his and a tree.  Of course it was the driver side right where I was sitting the tree hit.  I had one surgery already,  I got some metal in me now.  The dr say I should make a good recovery.  Love always.",12,2,email
62,"It can be tough to allocate some of your cash to a savings account if you don’t have a set goal for that money. Why save for later when you can spend on what you want today, right? But among the many reasons to save money is that even if you don’t know exactly what you’re saving for right now, you’ll likely find something you want to save for in the future. A new car, a new home, a child’s education… the possibilities are endless. Plus, it’s critical to have some cash set aside for emergencies and unexpected expenses as they come up.  It has nothing to do with the money and everything to do with giving yourself flexibility and choice in your life,” says Eric Roberge, a certified financial planner and founder of Beyond Your Hammock, a financial planning firm that specializes in giving financial advice to people in their 30s.

“When you have money available in the bank you can do what you want without stress,” he says. If you’re wondering why you should save money, imagine giving yourself freedom to choose what you want to do, rather than feeling stuck in a particular situation or position because you rely on the paycheck.",12,9,email
63,"Many workers view their jobs as necessary evils to provide the resources for fulfilling their lives in leisure time, which they are pressing harder and harder to increase. It is the first-level supervisor who must cope with such workers face to face and day to day. Being able to communicate effectively is vital. In a recent study of 25 middle managers, the materials manager of an electrical company expressed a theme common to the group: “Being able to work with people is the most important characteristic a first-level supervisor can have. I can buy technological expertise, but it’s hard to find someone with good, basic communication skills.”  First-level supervisors must of course have technical competence in the areas they supervise. The supervisors must be able to perform the specific tasks they ask their workers to do and must, to some degree, understand the equipment and the process technology they manage.",12,0,email
64,"When it comes to car insurance, permissive use refers to your ability to let other motorists, ones not listed on your policy,  drive your vehicle periodically. Most standard insurance policies are permissive use.

The key word is ""periodically"" which most insurers define as less than 12 times a year. If your roommate, neighbor or friend is driving your car on a regular basis, that person should be added to your policy, which will most likely increase your premium.

There are ""named driver policies"" out there although they are fairly rare. This type of policy only covers drivers who are explicitly named on the policy. That means accidents are covered if  you let someone drive your car who is not named on your policy.

It is also possible for an insurer to lower coverage levels when an occasional driver is behind the wheel. Insurance companies in eight states are legally allowed to reduce coverage limits for any driver that is not specifically listed on your policy.",12,8,email
65,"i want to sell my mobile because i need some money to buy phone . my old mobile have some problem 
but i don have enough money to fix that . for that i choose online mobile resale store where i can exchange my old mobile . i looked lot of sites for exchanging my  iPhone 7 but finally i found  sellyt site . sellyt is the place where selling made easy . it is one of the trust worthy site to sell old mobile.there were providing  mobiles at amazing prices less than a minute . so i decided to exchange my mobile there .  sellyt gave me the best value for my old mobile . i am highly impressed by their service .another best feature of that seelyt is  give the best price for second hand mobile at doorstep. finally i exchange my old mobile for great price .",13,5,email
66,once me and my mother got fatal car accident i understood it was the broded side . it was a massive accident . i got severe head injury . but my mom escaped with some minor injuries . still now i remember that blac day in my life .  hit the car lying in the middle of intersection then my car start spinning . my dad told me that i had a shunt in my head to drain of the fluid off my brain due to head injury . mild cracking in my skull . so there was swelling in my skull but my head hit at the car window forcefully.. luckily i escaped aftyer some days spending in hosptial . thamks to god for saving me . all credits goes to my parents . my grand mother told about this storey many times . she always remind me to go slow and drive safely,13,2,email
67,"family members are often the best choice for asking help in unexpected situation . once i need help for some  unexpected medical expense for my mother . i need some lakhs . one person i always remember when i am needy is my uncle . he always supports me in all difficult situations. i want to in home . but before asking  i felt little awkward . then i sit with home , make lot of discussions about repaying the money .. i gave him written agreement to make sure that i will return money on time ..I wouldn't ask you to send me his password over email or by text or anything, so please give me a call when you get a chance so that I can get the password, he is the one i trust the most , finally i gave me the money i asked . . with the help of that money i admit my mother in hospital . now she out of danger . thanks to my uncle to save my mother .",13,9,email
68,"Dear  supervise es,I'm so sorry that I'm sending you an e-mail due to heavy snowfall  our company is postponing  all meeting to April 17 , 2020 . I was on an icy road and although I was slowed down, there was another car who was driving too fast and crashed right into the back of your car. I think the car might totaled, which breaks my heart, because you trusted me to take excellent care of your car. I completely betrayed your trust by crashing your expensive car. Do I'll help you call the insurance company and see what we can do about a possible repair or replacement. Unfortunately, I don't have much money to my name so I can't pay you for the car, but we will get this figured out! I promise! I'm so sorry, and I love you so much, and I hope you can forgive me",13,0,email
69,"once i was in need of car . then i decide to borrow the car from my friend . but i know that car is not just a vehicle for him . he was so emotionally attached with that car. i hesitate a lot to ask him about the car . but i need  the car for some emergency . so i asked him to lend me that car . but  he said no first . then i request him a lot finally he gave that car . then i took that vehicle for my vacation . . unforunately  i hit car on the tree . car got crashed. i donot know what to say . finally i informed about the crash . he scold me a lot . but luckily  he got  his current auto insurance . then he claims the full deductible amount , in cash . . he would certain;ly amend the insurance and got that insurance .",13,8,email
